0.0020	0.0007	0.7991
0.0020	0.0008	0.6274
0.0230	0.0097	0.7040
0.0350	0.0148	0.7704
0.0460	0.0212	0.6881
0.0470	0.0193	0.7317
0.0580	0.0250	0.7161
0.0450	0.0206	0.6733
0.0640	0.0297	0.7048
0.0870	0.0422	0.7316
0.0690	0.0330	0.6687
0.0730	0.0364	0.7175
0.0830	0.0370	0.6922
0.0970	0.0494	0.6632
0.1060	0.0493	0.6662
0.0960	0.0457	0.6729
0.1150	0.0538	0.6818
0.1140	0.0582	0.6661
0.1340	0.0670	0.6523
0.1250	0.0597	0.6666
0.1410	0.0689	0.6612
0.1320	0.0621	0.6617
0.1500	0.0803	0.6428
0.1530	0.0772	0.6475
0.1320	0.0659	0.6775
0.1530	0.0748	0.6869
0.1560	0.0845	0.6562
0.1610	0.0852	0.6699
0.1390	0.0685	0.6888
0.1720	0.0873	0.6441
0.1740	0.0899	0.6642
0.1800	0.0947	0.6826
0.1810	0.0902	0.6697
0.1920	0.1002	0.6322
0.1970	0.1107	0.6417
0.1810	0.1040	0.6203
0.1820	0.0991	0.6508
0.1700	0.0937	0.6636
0.1960	0.1041	0.6558
0.1990	0.1068	0.6618
0.1990	0.1034	0.6440
0.1920	0.0920	0.6588
0.1930	0.1060	0.6256
0.1820	0.0950	0.6283
0.2260	0.1153	0.6466
0.2180	0.1089	0.6476
0.2340	0.1245	0.6166
0.1940	0.1009	0.6645
0.2140	0.1160	0.6087
0.1880	0.0969	0.6436
0.2230	0.1183	0.6498
0.1930	0.1075	0.6391
0.2180	0.1122	0.6498
0.1730	0.0968	0.6245
0.2100	0.1071	0.6646
0.2240	0.1194	0.6297
0.2160	0.1196	0.6234
0.1940	0.1066	0.6202
0.2040	0.1154	0.6518
0.2200	0.1228	0.6522
0.2000	0.1127	0.6480
0.2080	0.1092	0.6265
0.2200	0.1162	0.6498
0.2080	0.1175	0.6391
0.2170	0.1181	0.6438
0.1830	0.0979	0.6618
0.2250	0.1197	0.6433
0.2300	0.1210	0.6015
0.2200	0.1234	0.6325
0.2190	0.1243	0.6421
0.2150	0.1237	0.6296
0.2380	0.1309	0.6218
0.2190	0.1178	0.6335
0.2260	0.1264	0.6432
0.2300	0.1302	0.6232
0.2230	0.1199	0.6339
0.2270	0.1249	0.6418
0.2230	0.1207	0.6258
0.2180	0.1223	0.6474
0.2430	0.1343	0.6308
0.2280	0.1266	0.6318
0.2060	0.1106	0.6107
0.2460	0.1349	0.6123
0.2120	0.1120	0.6337
0.2060	0.1164	0.6201
0.2460	0.1442	0.6232
0.2170	0.1191	0.6312
0.2230	0.1246	0.6348
0.2230	0.1176	0.6126
0.2550	0.1393	0.6230
0.2610	0.1358	0.6258
0.2450	0.1373	0.6297
0.2070	0.1223	0.6335
0.2280	0.1283	0.6175
0.2220	0.1189	0.6193
0.2300	0.1224	0.6269
0.2260	0.1276	0.6151
0.2500	0.1355	0.6011
0.2300	0.1336	0.6123
0.2260	0.1195	0.6167
0.2270	0.1240	0.6242
0.2280	0.1282	0.6288
0.2400	0.1330	0.6136
0.2010	0.1100	0.6376
0.2350	0.1312	0.6218
0.2590	0.1542	0.6150
0.2180	0.1247	0.6255
0.2250	0.1244	0.6437
0.2220	0.1275	0.6149
0.2480	0.1283	0.6027
0.2440	0.1418	0.6152
0.2700	0.1449	0.6074
0.2520	0.1413	0.6013
0.2480	0.1343	0.6172
0.2410	0.1332	0.6236
0.2440	0.1436	0.6353
0.2370	0.1342	0.6033
0.2220	0.1258	0.6226
0.2370	0.1335	0.6276
0.2340	0.1279	0.6179
0.2580	0.1500	0.6074
0.2440	0.1389	0.6193
0.2550	0.1439	0.6083
0.2170	0.1188	0.6214
0.2320	0.1242	0.6282
0.2580	0.1452	0.6112
0.2210	0.1276	0.6334
0.2270	0.1304	0.6274
0.2450	0.1390	0.6210
0.2330	0.1339	0.6284
0.2380	0.1384	0.6113
0.2280	0.1302	0.6248
0.2190	0.1192	0.6233
0.2040	0.1170	0.6255
0.2720	0.1483	0.6107
0.2590	0.1434	0.6187
0.2520	0.1446	0.6119
Done
----- TEST (N=[10,20]) ----- 

 HR:	[0.2039148  0.28762234] 
 NDCG:	[0.11137709 0.13246349] 
 div:	[0.61185185 0.60768112] 
